Inst.  Date     Time      X   Y  Dist. Counts   Geog.Pos.    Geomag.Pos.    MLT
WIC_2000_0730_21:36:21  169 169  35284  3129  70.49 345.33  70.53  79.08  22.23
WIC_2000_0731_03:03:23  190 173  51528  6614  58.94 300.82  66.80  26.39  23.96
WIC_2000_0801_05:32:39  172 179  51059  3884  53.93 260.50  63.71 324.63  22.30
WIC_2000_0801_09:13:25  218 162  47359  3596  65.41 216.09  66.21 266.43  22.06
WIC_2000_0801_17:08:08  171 166  41336 11034  68.94  69.12  64.10 144.61  21.78
WIC_2000_0801_21:23:39  191 151  51851  4702  67.96  34.29  63.93 114.45   0.38
WIC_2000_0802_09:27:44  181 154  49933  3102  68.95 206.43  68.00 255.42  21.55
WIC_2000_0802_23:52:52  190 169  50367  3982  60.98 322.73  64.42  51.83  22.65
WIC_2000_0803_02:50:42  201 175  50494  3432  57.05 292.74  66.34  14.66  22.98
WIC_2000_0803_05:09:40  194 193  41298  3545  55.18 268.30  65.69 336.28  22.70
WIC_2000_0803_13:53:28  141 131  49843  3654  71.03 184.94  67.18 238.05   0.62
WIC_2000_0803_17:03:34  226 150  50529  3431  71.28  89.20  66.01 163.07  22.92
WIC_2000_0804_00:54:14  153 203  32531  5568  59.71 287.17  69.56  10.04  20.84
WIC_2000_0804_06:43:43  173 173  51461  5142  58.17 242.41  64.67 298.59  21.73
WIC_2000_0804_09:19:02  164 164  43065  2909  64.55 222.13  66.58 272.57  22.56
WIC_2000_0804_17:24:00  174 158  46712  7933  69.92  61.93  65.16 138.67  21.73
WIC_2000_0804_21:41:33  231 154  50155  4704  54.69 313.22  59.84  39.55  19.67
WIC_2000_0805_06:29:25  114 189  40911  2783  56.08 259.93  65.73 323.26  23.14
WIC_2000_0805_07:53:12  131 175  47687  5886  58.56 234.55  63.35 289.25  22.25
WIC_2000_0805_12:02:35  197 154  49867  6331  69.00 166.03  63.49 226.60  22.11
WIC_2000_0805_20:58:36  157 171  42416  5921  66.79   7.07  64.31  92.20  22.48
WIC_2000_0805_23:44:09  177 171  51521  2102  58.61 316.77  63.17  44.75  22.03
WIC_2000_0806_14:46:03  193 142  51995  7590  73.77  82.95  68.41 158.12  20.09
WIC_2000_0807_02:33:45  138 171  47608  2294  61.93 306.98  68.58  35.46   0.10
WIC_2000_0807_05:52:01  177 172  51481  2837  57.17 261.38  66.96 325.17  22.66
WIC_2000_0807_18:10:23  179 151  51165  5989  71.15  54.80  66.47 133.24  22.32
WIC_2000_0807_22:11:33  164 157  45623  3732  68.07  19.38  64.75 102.68   0.36
WIC_2000_0808_07:56:38  124 157  50295  6581  60.20 250.43  68.22 307.98  23.57
WIC_2000_0808_12:36:38  158 124  44756  4549  65.48 214.63  65.99 265.12   1.24
WIC_2000_0808_23:23:02  191 161  51921  3437  64.83 324.53  68.08  56.00  22.43
WIC_2000_0809_03:18:04  167 186  42351  3593  57.84 291.97  67.22  13.74  23.37
WIC_2000_0810_04:02:58  177 176  51979  3379  57.22 270.45  67.77 339.49  21.83
WIC_2000_0810_06:28:05  161 174  48188  8420  52.21 266.71  62.69 334.17  23.86
WIC_2000_0810_15:17:57  149 156  44838  5432  71.75 107.17  66.15 178.89  21.99
WIC_2000_0810_20:10:13  141 143  49763  3602  68.09  70.61  63.27 145.69   1.24
